,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,counts,won,min_stem_win,min_pct_win,margin,close_cand_5pct,close_cand_10pct,close_cand_20pct,Naam_win,Aanbevolen door_win,Aantal stemmen_win,Procentueel_win,alrdy_in_pols
1,mr. S.C.H. Piccardt,,181.0,0.251,Winschoten,30/11/1848,algemeen,1183,722,722,721.0,1,1.0,361.0,3,0,257.0,0.3564,-0.1054,0,0,1,mr. R. de Sitter,,257.0,0.3564,nee
2,mr. W.J. Mees,,133.0,0.19440000000000002,Appingedam,27/12/1848,tussentijds,1586,686,687,684.0,3,1.0,342.0,2,0,225.0,0.3289,-0.1345,0,0,1,dr. R. Westerhoff,,225.0,0.3289,nee
3,mr. D. Bonthuis,,117.0,0.1711,Appingedam,27/12/1848,tussentijds,1586,686,687,684.0,3,1.0,342.0,3,0,225.0,0.3289,-0.15780000000000002,0,0,1,dr. R. Westerhoff,,225.0,0.3289,nee
4,P.W. Wiertsema,,101.0,0.1477,Appingedam,27/12/1848,tussentijds,1586,686,687,684.0,3,1.0,342.0,4,0,225.0,0.3289,-0.18120000000000003,0,0,1,dr. R. Westerhoff,,225.0,0.3289,nee
5,W. Waalkens,,98.0,0.1433,Appingedam,27/12/1848,tussentijds,1586,686,687,684.0,3,1.0,342.0,5,0,225.0,0.3289,-0.18560000000000001,0,0,1,dr. R. Westerhoff,,225.0,0.3289,nee
20,mr. H. van Sonsbeeck,,215.0,0.44329999999999997,Enschede,30/11/1848,algemeen,532,486,487,485.0,1,1.0,243.0,2,0,261.0,0.5381,-0.09480000000000005,0,1,1,jhr. C.M. Storm van 's Gravesande,,261.0,0.5381,nee
21,mr. H. van Sonsbeeck,,186.0,0.3811,Enschede,16/12/1848,tussentijds,532,488,488,488.0,0,1.0,244.0,2,0,257.0,0.5266,-0.14549999999999996,0,0,1,mr. M.J. de Man,,257.0,0.5266,nee
24,mr. R.W. Tadema,,246.0,0.3489,Zutphen,30/11/1848,algemeen,791,708,708,705.0,3,1.0,353.0,2,0,342.0,0.4851,-0.1362,0,0,1,mr. J.R. Thorbecke,,342.0,0.4851,nee
26,J.D.C.C.W. baron van Ablaing van Giessenburg,,309.0,0.428,Amersfoort,30/11/1848,algemeen,795,725,725,722.0,3,1.0,361.0,2,0,314.0,0.4349,-0.006900000000000017,1,1,1,mr. S. van Walchren,,314.0,0.4349,nee
27,J.D.C.C.W. baron van Ablaing van Giessenburg,,278.0,0.4052,Amersfoort,07/12/1848,herstemming,795,690,690,686.0,2,1.0,343.0,2,0,408.0,0.5948,-0.1896,0,0,1,mr. S. van Walchren,,408.0,0.5948,nee
28,J.G. Dolmans,,385.0,0.3602,Ysselstein,30/11/1848,algemeen,1174,1071,1071,1069.0,2,1.0,535.0,2,0,396.0,0.3704,-0.010199999999999987,1,1,1,E.C.U. van Doorn,,396.0,0.3704,nee
36,mr. L. Luzac,,33.0,0.052000000000000005,Gouda,30/11/1848,algemeen,818,644,644,635.0,1,1.0,318.0,6,0,131.0,0.20629999999999998,-0.1543,0,0,1,mr. G.M. van der Linden,,131.0,0.20629999999999998,nee
43,A. Vogelsang,,146.0,0.2421,Ridderkerk,30/11/1848,algemeen,737,607,607,603.0,1,1.0,302.0,2,0,196.0,0.325,-0.0829,0,1,1,mr. W. Wijnaendts,,196.0,0.325,nee
44,L. Kluit,,89.0,0.1476,Ridderkerk,30/11/1848,algemeen,737,607,607,603.0,1,1.0,302.0,3,0,196.0,0.325,-0.1774,0,0,1,mr. W. Wijnaendts,,196.0,0.325,nee
45,P.J. de Raadt van Hendrik-Ido-Ambacht,,84.0,0.1393,Ridderkerk,30/11/1848,algemeen,737,607,607,603.0,1,1.0,302.0,4,0,196.0,0.325,-0.1857,0,0,1,mr. W. Wijnaendts,,196.0,0.325,nee
46,A. Vogelsang,,278.0,0.4877,Ridderkerk,09/12/1848,herstemming,737,590,590,570.0,18,1.0,285.0,2,0,292.0,0.5123,-0.024599999999999955,1,1,1,mr. W. Wijnaendts,,292.0,0.5123,nee
50,W. de la Haye,,216.0,0.48210000000000003,Sittard,30/11/1848,algemeen,596,450,451,448.0,3,1.0,224.0,2,0,221.0,0.49329999999999996,-0.011199999999999932,1,1,1,J.L.Th.A.L. baron van Scherpenzeel Heusch,,221.0,0.49329999999999996,nee
51,W. de la Haye,,210.0,0.4575,Sittard,09/12/1848,herstemming,596,464,463,459.0,3,1.0,230.0,2,0,249.0,0.5425,-0.08499999999999996,0,1,1,J.L.Th.A.L. baron van Scherpenzeel Heusch,,249.0,0.5425,nee
59,jhr. E. de Wendt Alberda van Ekenstein,,196.0,0.3106,Zuidhorn,07/04/1869,herstemming,1368,632,632,631.0,1,1.0,316.0,2,0,255.0,0.40409999999999996,-0.09349999999999997,0,1,1,mr. N. Olivier,,255.0,0.40409999999999996,nee
60,H.W. Wierda,,180.0,0.2853,Zuidhorn,07/04/1869,herstemming,1368,632,632,631.0,1,1.0,316.0,3,0,255.0,0.40409999999999996,-0.11879999999999996,0,0,1,mr. N. Olivier,,255.0,0.40409999999999996,nee
61,H.W. Wierda,,206.0,0.2841,Zuidhorn,08/06/1869,periodiek,1417,736,736,725.0,0,1.0,363.0,2,0,331.0,0.45659999999999995,-0.17249999999999993,0,0,1,mr. N. Olivier,(AH)*,331.0,0.45659999999999995,nee
62,P.W.A. Cort van der Linden,(AH)*,371.0,0.3688,Groningen,28/10/1884,algemeen,1630,1009,1009,1006.0,3,1.0,503.0,2,0,527.0,0.5239,-0.15510000000000002,0,0,1,mr. S. van Houten,(AH)*,527.0,0.5239,nee
63,J.G. Nederhoed,AR(DT),644.0,0.41119999999999995,Appingedam,12/06/1883,periodiek,3346,1582,1582,1566.0,11,1.0,783.0,2,0,836.0,0.5338,-0.1226000000000001,0,0,1,mr. D. de Ruiter Zijlker,(AH)*,836.0,0.5338,nee
64,T. Borgesius,,118.0,0.2365,Winschoten,18/07/1864,tussentijds,1175,499,499,499.0,0,1.0,250.0,2,0,182.0,0.36469999999999997,-0.12819999999999998,0,0,1,dr. W.J.A. Jonckbloet,,182.0,0.36469999999999997,nee
65,mr. W. Woldringh,,98.0,0.19640000000000002,Winschoten,18/07/1864,tussentijds,1175,499,499,499.0,0,1.0,250.0,3,0,182.0,0.36469999999999997,-0.16829999999999995,0,0,1,dr. W.J.A. Jonckbloet,,182.0,0.36469999999999997,nee
66,T. Borgesius,,216.0,0.4202,Winschoten,02/08/1864,herstemming,1175,516,516,514.0,2,1.0,257.0,2,0,298.0,0.5798,-0.15959999999999996,0,0,1,dr. W.J.A. Jonckbloet,,298.0,0.5798,nee
68,L.G. Brock,,203.0,0.15259999999999999,Winschoten,26/02/1878,tussentijds,2558,1341,1341,1330.0,3,1.0,665.0,3,0,465.0,0.3496,-0.19700000000000004,0,0,1,D. Mulder Dzn.,,465.0,0.3496,nee
71,A. Winkler Prins,,329.0,0.2562,Winschoten,01/09/1887,algemeen,2923,1293,1294,2568.0,16,2.0,642.0,3,0,475.0,0.3699,-0.11370000000000002,0,0,1,mr. H.L. Drucker,,475.0,0.3699,nee
72,jhr.mr. O.Q. van Swinderen,,299.0,0.2329,Winschoten,01/09/1887,algemeen,2923,1293,1294,2568.0,16,2.0,642.0,4,0,475.0,0.3699,-0.137,0,0,1,mr. H.L. Drucker,,475.0,0.3699,nee
73,J.G. Nederhoed,AR,285.0,0.222,Winschoten,01/09/1887,algemeen,2923,1293,1294,2568.0,16,2.0,642.0,5,0,475.0,0.3699,-0.1479,0,0,1,mr. H.L. Drucker,,475.0,0.3699,nee
74,mr. J.H. Smidt,,224.0,0.1745,Winschoten,01/09/1887,algemeen,2923,1293,1294,2568.0,16,2.0,642.0,6,0,475.0,0.3699,-0.19540000000000002,0,0,1,mr. H.L. Drucker,,475.0,0.3699,nee
93,J. Hessels Tacoma,,500.0,0.48119999999999996,Leeuwarden,12/06/1860,periodiek,2946,1052,1052,1039.0,12,1.0,520.0,2,0,520.0,0.5005,-0.019299999999999984,1,1,1,mr. J. Dirks,,520.0,0.5005,nee
94,J. Hessels Tacoma,,786.0,0.4746,Leeuwarden,30/10/1860,tussentijds,2946,1670,1670,1656.0,10,1.0,828.0,2,0,839.0,0.5065999999999999,-0.03199999999999992,1,1,1,mr. J. Dirks,,839.0,0.5065999999999999,nee
103,mr. B. Rinia van Nauta,,584.0,0.42969999999999997,Sneek,13/06/1854,periodiek,2741,1368,1368,1359.0,9,1.0,680.0,2,0,713.0,0.5246999999999999,-0.09499999999999997,0,1,1,mr. H.U. Huguenin,,713.0,0.5246999999999999,nee
114,L. Britzel,,378.0,0.4447,Sneek,12/06/1860,periodiek,2759,1076,1076,850.0,17,1.0,425.0,2,0,452.0,0.5318,-0.08710000000000007,0,1,1,mr. S. Wybenga,,452.0,0.5318,nee
