Naam,District,Verkiezingdatum,InTKEK,Gevonden,Sterfdatum,Gebdatum,Sterfplaats,Vermogen,Link1,Link2,Polpartij,Opm
J.F. Zijlker,Winschoten,30/11/1848,,,,,,,,,,
mr. S.C.H. Piccardt,Winschoten,30/11/1848,,,,,,,,,,
mr. W.J. Mees,Appingedam,27/12/1848,,,,,,,,,,
mr. D. Bonthuis,Appingedam,27/12/1848,,,,,,,,,,
P.W. Wiertsema,Appingedam,27/12/1848,,,,,,,,,,
W. Waalkens,Appingedam,27/12/1848,,,,,,,,,,
I.T. ter Brugghen Hugenholtz,Dokkum,30/11/1848,,,,,,,,,,
mr. A.F. Jongstra,Heerenveen,30/11/1848,,,,,,,,,,
mr. A.F. Jongstra,Heerenveen,15/12/1848,,,,,,,,,,
mr. A.F. Jongstra,Franeker,19/12/1848,,,,,,,,,,
mr. A.F. Jongstra,Franeker,29/12/1848,,,,,,,,,,
mr. L. graaf van Heiden Reinestein,Assen,30/11/1848,,,,,,,,,,
mr. P. van der Veen,Assen,30/11/1848,,,,,,,,,,
mr. L. graaf van Heiden Reinestein,Assen,07/12/1848,,,,,,,,,,
dr. M. Dassen,Hoogeveen,30/11/1848,,,,,,,,,,
mr. L.N. graaf van Randwijck,Hoogeveen,07/12/1848,,,,,,,,,,
mr. L.N. graaf van Randwijck,Hoogeveen,26/12/1848,,,,,,,,,,
mr. D. Donker Curtius,Almelo,21/12/1848,,,,,,,,,,
B.P.G. van Diggelen,Almelo,21/12/1848,,,,,,,,,,
mr. J. van Riemsdijk,Almelo,02/01/1849,,,,,,,,,,
mr. H. van Sonsbeeck,Enschede,30/11/1848,,,,,,,,,,
mr. H. van Sonsbeeck,Enschede,16/12/1848,,,,,,,,,,
mr. W.H. Dullert,Arnhem,30/11/1848,,,,,,,,,,
mr. M.J. de Man,Harderwijk,22/12/1848,,,,,,,,,,
mr. R.W. Tadema,Zutphen,30/11/1848,,,,,,,,,,
mr. J.T.H. Nedermeyer ridder van Rosenthal,Doetinchem,13/12/1848,,,,,,,,,,
J.D.C.C.W. baron van Ablaing van Giessenburg,Amersfoort,30/11/1848,,,,,,,,,,
J.D.C.C.W. baron van Ablaing van Giessenburg,Amersfoort,07/12/1848,,,,,,,,,,
J.G. Dolmans,Ysselstein,30/11/1848,,,,,,,,,,
mr. W.L.F.C. ridder van Rappard,Ysselstein,30/11/1848,,,,,,,,,,
mr. J.M. de Kempenaer,Leiden,14/12/1849,,,,,,,,,,
mr. G.W. Verweij Mejan,Leiderdorp,30/11/1848,,,,,,,,,,
mr. J.R. Thorbecke,Gouda,30/11/1848,,,,,,,,,,
mr. Ã. baron van Mackay,Gouda,30/11/1848,,,,,,,,,,
A. van Rijckevorsel Hz.,Gouda,30/11/1848,,,,,,,,,,
mr. D. Donker Curtius,Gouda,30/11/1848,,,,,,,,,,
mr. L. Luzac,Gouda,30/11/1848,,,,,,,,,,
mr. J.S. van Naamen,Gouda,30/11/1848,,,,,,,,,,
jhr.mr. W.T. Gevers Deynoot,Gouda,30/11/1848,,,,,,,,,,
mr. J.R. Thorbecke,Gouda,14/12/1848,,,,,,,,,,
