,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,counts,won,min_stem_win,min_pct_win,margin,close_cand_5pct,close_cand_10pct,close_cand_20pct,close_cand_30pct,algehad,isapolitician
6,mr. A. Oudeman,,113.0,0.13390000000000002,Onderdendam,30/11/1848,algemeen,1568,847,844,844.0,0,1.0,422.0,2,0,357.0,0.423,-0.28909999999999997,0,0,0,1,nee,nee
39,dr. P.J. Costerus,,155.0,0.1707,Sneek,30/11/1848,algemeen,1168,907,908,908.0,0,1.0,454.0,2,0,366.0,0.4031,-0.23240000000000002,0,0,0,1,nee,nee
59,mr. G. Kniphorst,,47.0,0.056799999999999996,Assen,30/11/1848,algemeen,973,835,835,828.0,3,1.0,414.0,4,0,245.0,0.2959,-0.2391,0,0,0,1,nee,nee
61,mr. P.W.A. Grevelink,,32.0,0.038599999999999995,Assen,30/11/1848,algemeen,973,835,835,828.0,3,1.0,414.0,6,0,245.0,0.2959,-0.2573,0,0,0,1,nee,nee
62,mr. J. Tonckens,,32.0,0.038599999999999995,Assen,30/11/1848,algemeen,973,835,835,828.0,3,1.0,414.0,7,0,245.0,0.2959,-0.2573,0,0,0,1,nee,nee
63,mr. C. Hiddingh,,29.0,0.035,Assen,30/11/1848,algemeen,973,835,835,828.0,3,1.0,414.0,8,0,245.0,0.2959,-0.2609,0,0,0,1,nee,nee
64,jhr.mr. H.J.L. van der Wijck,,15.0,0.0181,Assen,30/11/1848,algemeen,973,835,835,828.0,3,1.0,414.0,9,0,245.0,0.2959,-0.2778,0,0,0,1,nee,nee
91,A. van der Vlies,,61.0,0.09949999999999999,Hoogeveen,26/12/1848,tussentijds,940,617,621,613.0,8,1.0,307.0,3,0,244.0,0.39799999999999996,-0.2985,0,0,0,1,nee,nee
271,I. Collaes,,37.0,0.1386,Sittard,14/06/1849,tussentijds,596,273,273,267.0,2,1.0,134.0,3,0,94.0,0.3521,-0.21350000000000002,0,0,0,1,nee,nee
272,C. Reynen,,35.0,0.1311,Sittard,14/06/1849,tussentijds,596,273,273,267.0,2,1.0,134.0,4,0,94.0,0.3521,-0.22100000000000003,0,0,0,1,nee,nee
273,mr. W. Sassen,,22.0,0.0824,Sittard,14/06/1849,tussentijds,596,273,273,267.0,2,1.0,134.0,5,0,94.0,0.3521,-0.26970000000000005,0,0,0,1,nee,nee
