,Naam_x,District,Verkiezingdatum,Vermogen,Naam_y,matched b1-nummer,indexnummer,nw0,Vermogen1,nw01
0,mr. J. van Riemsdijk,Almelo,02/01/1849,29618.27,D. Donker Curtius,00332,,,10.296146679633958,
1,D. Mulder Dzn.,Winschoten,12/03/1878,1018.44,J.W.J. van Vos van Steenwijk,01479,01479,225561.23,6.926027323769586,12.32634693100077
2,D. Mulder Dzn.,Winschoten,10/06/1879,1018.44,J.W.J. van Vos van Steenwijk,01479,01479,225561.23,6.926027323769586,12.32634693100077
3,mr. S.J. baron van Pallandt,Almelo,08/06/1875,1076713.3,J.R. Corver Hooft,00273,00273,715203.6,13.88942371828626,13.48032253638582
4,mr. S.J. baron van Pallandt,Almelo,22/06/1875,1076713.3,J.R. Corver Hooft,00273,00273,715203.6,13.88942371828626,13.48032253638582
5,H.P. Gelderman,Almelo,10/06/1879,747677.45,J.R. Corver Hooft,00273,00273,715203.6,13.524726947378468,13.48032253638582
6,J.E. Stork,Almelo,28/10/1884,833477.66,J.R. Corver Hooft,00273,00273,715203.6,13.633362178174316,13.48032253638582
7,J.E. Stork,Almelo,28/10/1884,833477.66,A. van Laer,00998,00998,129308.0,13.633362178174316,11.769952434462375
8,J.E. Stork,Almelo,11/11/1884,833477.66,J.R. Corver Hooft,00273,00273,715203.6,13.633362178174316,13.48032253638582
9,J.E. Stork,Almelo,11/11/1884,833477.66,A.H.M. van Berckel,00089,00089,41260.15,13.633362178174316,10.627652422100942
10,mr. B.A. Reigers,Zutphen,30/10/1866,23690.56,H.A. van Rappard,01083,01083,0.0,10.072831935539547,-inf
11,mr. B.A. Reigers,Zutphen,30/10/1866,23690.56,J. Dam,00285,,,10.072831935539547,
12,jhr.mr. H.B. van Tets,Zutphen,05/12/1882,191080.8,W.G. van Brantsen van de Zijp,00198,00198,724361.0,12.160451654223206,13.493045165883345
13,jhr.mr. H.B. van Tets,Zutphen,12/06/1883,191080.8,W.G. van Brantsen van de Zijp,00198,00198,724361.0,12.160451654223206,13.493045165883345
14,P.C.G. Guyot,Arnhem,24/09/1850,,W. van Lynden,00855,,,,
15,P.C.G. Guyot,Arnhem,24/09/1850,,Æ. van Mackay,00861,,,,
16,P.C.G. Guyot,Arnhem,08/10/1850,,W. van Lynden,00855,,,,
17,P.C.G. Guyot,Arnhem,08/10/1850,,Æ. van Mackay,00861,,,,
18,jhr.mr. H.G.C.L. Janssens,Alkmaar,25/10/1870,1320432.3,C. van Foreest,00416,,,14.093469740946135,
19,W. Bos,Alkmaar,28/10/1884,24601.03,W. van der Kaay,00666,00666,6642.13,10.110543590962633,8.801187974163101
