,index,b1-nummer,Naam,District,Verkiezingdatum,Vermogen,margin,Sterfdatum,Vermogen_deflated,before,after,lifespan,election_type,party_election,amount_votes,amount_seats,turnout,kiesdrempel,begin_period,end_period,tenure,date_of_birth
0,0,1100,R. de Sitter,Winschoten,30/11/1848,,0.07183908045977,24-02-1869,,0,0,7391,algemeen,,257,1,722,361,1849-02-13,1869-02-23,7315 days 00:00:00,15-08-1790
0,1,1527,R. Westerhoff,Appingedam,27/12/1848,,0.136498516320475,25-03-1874,,1,6,9219,tussentijds,,225,1,686,342,1849-02-13,1874-03-24,9170 days 00:00:00,14-03-1801
0,2,955,J.T. Homan,Assen,30/11/1848,,0.087193460490463,29-03-1852,,1,0,1215,algemeen,,245,1,835,414,1844-10-22,1850-08-19,2127 days 00:00:00,22-04-1801
0,3,1100,G. de Serière,Hoogeveen,26/12/1848,,0.030981067125645,24-02-1869,,0,0,7365,,,,,,,1849-02-13,1869-02-23,7315 days 00:00:00,15-08-1790
0,4,332,D. Donker Curtius,Almelo,02/01/1849,,0.1125,17-07-1864,,3,1,5645,herstemming,,267,1,480,240,1849-02-13,1850-08-19,552 days 00:00:00,19-10-1792
0,5,1316,C.M. Storm van 's Gravesande,Enschede,30/11/1848,538774.18,0.096638655462185,08-07-1880,395608.196400622,0,13,11573,algemeen,,397,1,741,370,1847-11-09,1879-09-14,11632 days 00:00:00,16-05-1809
0,6,872,M.J. de Man,Enschede,16/12/1848,,0.148225469728601,22-12-1854,,1,7,2197,tussentijds,,257,1,488,244,1840-08-05,1854-12-21,5251 days 00:00:00,23-06-1788
0,7,1361,J.R. Thorbecke,Zutphen,30/11/1848,,0.137142857142857,04-06-1872,,0,26,8528,algemeen,,218,1,741,370,1840-08-05,1871-01-03,11108 days 00:00:00,14-01-1798
0,8,1504,S. van Walchren,Amersfoort,30/11/1848,,0.00709219858156,16-01-1871,,1,3,8082,algemeen,,314,1,725,361,1849-02-13,1853-04-25,1532 days 00:00:00,27-05-1791
0,9,1504,S. van Walchren,Amersfoort,07/12/1848,,0.189504373177842,16-01-1871,,0,4,8223,herstemming,,408,1,690,343,1849-02-13,1853-04-25,1532 days 00:00:00,27-05-1791
0,10,335,E.C.U. van Doorn,Ysselstein,30/11/1848,256315.21,0.010506208213945,02-08-1882,187634.659035006,1,2,12123,algemeen,,396,1,1071,535,1849-02-13,1853-03-26,1502 days 00:00:00,13-10-1799
0,11,828,G.M. van der Linden,Gouda,30/11/1848,276159.77,0.026446280991736,04-04-1888,257675.934985976,0,27,14370,algemeen,,131,1,644,318,1849-02-13,1888-03-26,14286 days 00:00:00,09-09-1812
0,12,1582,W. Wijnaendts,Ridderkerk,30/11/1848,152344.32,0.088028169014085,20-04-1884,130112.146629126,1,2,12925,algemeen,,196,1,607,302,1849-02-13,1850-08-19,552 days 00:00:00,30-01-1814
0,13,1582,W. Wijnaendts,Ridderkerk,09/12/1848,152344.32,0.024561403508772,20-04-1884,130112.146629126,0,3,13004,herstemming,,292,1,590,285,1849-02-13,1850-08-19,552 days 00:00:00,30-01-1814
0,14,,J.L.Th.A.L. van Scherpenzeel Heusch,Sittard,30/11/1848,,0.011441647597254,,,0,0,,,,,,,,,,,
0,15,,J.L.Th.A.L. van Scherpenzeel Heusch,Sittard,09/12/1848,,0.084967320261438,,,0,0,,,,,,,,,,,
0,16,4021,J.J.F.M.H. Corneli,Sittard,14/06/1849,,0.084615384615385,23-11-1855,,1,1,2353,tussentijds,,94,1,273,134,1840-10-22,1849-02-12,3035 days 00:00:00,14-07-1800
0,17,1000,N. Olivier,Zuidhorn,07/04/1869,,0.093502377179081,12-11-1869,,12,1,160,herstemming,,255,1,632,316,1858-04-13,1869-09-19,4177 days 00:00:00,01-08-1808
0,18,1000,N. Olivier,Zuidhorn,08/06/1869,,0.176803394625177,12-11-1869,,13,0,127,periodiek,(AH)*,331,1,736,363,1858-04-13,1869-09-19,4177 days 00:00:00,01-08-1808
