,Naam,Birthplace,Birthdate
597,mr. J. van Riemsdijk,,
602,W. de la Haye,,
604,D. Mulder Dzn.,,
611,mr. S.J. baron van Pallandt,,
613,H.P. Gelderman,,
614,J.E. Stork,,
616,mr. B.A. Reigers,,
617,jhr.mr. H.B. van Tets,,
619,K.W. van Gorkom,,
625,J.F.H. Bekhuis,,
626,mr. W. Terpstra,,
627,jhr.mr. H.G.C.L. Janssens,,
628,W. Bos,,
629,jhr. M. Salvador,,
630,mr. T.M.C. Asser,,
631,J.P. de Bordes,,
633,mr. H.A. Neeb,,
636,mr. J.B.L. Wentholt,,
638,mr. J.T. Buys,,
639,dr. T.C.L. Wijnmalen,,
640,mr. A.A. van Bergen Ijzendoorn,,
641,J. van der Breggen,,
643,C.J. Vaillant,,
647,mr. A.M. Maas Geesteranus,,
650,mr. P.E.A. Janssens,,
652,J.H.A. Diepen,,
653,mr. H.A. van Mens,,
660,mr. F.G.J. baron van Rijckevorsel van Kessel,,
661,mr. J.H.A.M. Essink,,
670,J.G. van Schaardenburg,,
671,F.G. Mellink Pzn.,,
673,J. Hoven,,
678,mr. D. Bonthuis,,
684,A. Vogelsang,,
686,P.J. de Raadt van Hendrik-Ido-Ambacht,,
688,jhr. E. de Wendt Alberda van Ekenstein,,
689,H.W. Wierda,,
692,J.G. Nederhoed,,
693,T. Borgesius,,
694,mr. W. Woldringh,,
697,A. Winkler Prins,,
698,jhr.mr. O.Q. van Swinderen,,
701,J. Hessels Tacoma,,
704,L. Britzel,,
705,jhr.mr. O.Q.J.J. van Swinderen,,
706,J. Wolbers,,
707,J. Binkes,,
708,mr. W. baron van Heemstra,,
710,K. Kater,,
714,mr. B.J. Gratama,,
719,mr. J.C. Bijsterbos,,
723,S.A. van Hoogstraten,,
724,mr. E.J.I. van Sonsbeeck,,
726,A.H. Jannink,,
729,mr. J.F. Pringle,,
731,jhr. B. van Merlen,,
735,mr. H. Verloren van Themaat,,
737,jhr.mr. J.L.B. de Muralt,,
742,G. van Leeuwen,,
746,C. Bloem,,
748,J.D. van Herwerden,,
749,H.W. van Marle,,
750,H.G. Jansen,,
752,jhr. J.P. Cornets de Groot van Kraayenburg,,
754,dr. A. Vrolik,,
